Comment,Designator,Footprint,LCSC,Quantity
ESP-F,U1,WIFIM-SMD_ESP-F,C19949062,1
LM2575HVS-3.3_C347428,U3,TO-263-5_L10.0-W8.4-P1.70-LS15.3-BR,C347428,1
WJ127-5.0-2P,P1,CONN-TH_2P-P5.00_CPC3703CTR,C3703,1
CYA1040-33UH,L1,IND-SMD_L11.6-W10.1,C6364680,1
IRF7201,Q3,SO-8_3.9x4.9mm_P1.27mm,,1
R,R1,R_0603_1608Metric,,1
220uf,C2,CP_Radial_D8.0mm_P3.50mm,,1
IRF7201,Q1,SO-8_3.9x4.9mm_P1.27mm,,1
~,U2,ledstrip,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
680uf,C1,CP_Radial_D8.0mm_P3.50mm,,1
IRF7201,Q2,SO-8_3.9x4.9mm_P1.27mm,,1
