Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,680uf,CP_Radial_D8.0mm_P3.50mm,53.447349,-38.89,0.0,top
C2,220uf,CP_Radial_D8.0mm_P3.50mm,63.57,-39.08,0.0,top
L1,CYA1040-33UH,IND-SMD_L11.6-W10.1,55.97,-51.39,180.0,top
P1,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,42.25,-20.89,0.0,top
Q1,IRF7201,SO-8_3.9x4.9mm_P1.27mm,42.62,-52.35,-90.0,top
Q2,IRF7201,SO-8_3.9x4.9mm_P1.27mm,35.485,-52.205,-90.0,top
Q3,IRF7201,SO-8_3.9x4.9mm_P1.27mm,28.72,-52.09,-90.0,top
R1,R,R_0603_1608Metric,33.295,-19.37,180.0,top
U1,ESP-F,WIFIM-SMD_ESP-F,34.895,-35.42,90.0,top
U2,~,ledstrip,43.48,-64.64,-90.0,top
U3,LM2575HVS-3.3_C347428,TO-263-5_L10.0-W8.4-P1.70-LS15.3-BR,58.95,-26.05,180.0,top
