Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,680uf,
C2,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,220uf,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
L1,IND-SMD_L11.6-W10.1,1,CYA1040-33UH,C6364680
P1,CONN-TH_2P-P5.00_CPC3703CTR,1,WJ127-5.0-2P,C3703
"Q1, Q2, Q3",SO-8_3.9x4.9mm_P1.27mm,3,IRF7201,
R1,0603,1,R,
U1,WIFIM-SMD_ESP-F,1,ESP-F,C19949062
U2,ledstrip,1,~,
U3,TO-263-5_L10.0-W8.4-P1.70-LS15.3-BR,1,LM2575HVS-3.3_C347428,C347428
